StatisticsDate,TargetDiseaseCode,TargetDisease,MeasurementType,DailyCount,TotalCount,PopulationCoverage
2021-04-03,219,COVID-19,DosesAdministered,8424,291029,
2021-04-03,219,COVID-19,FullyVaccinated,819,72430,5.45
2021-04-03,219,COVID-19,Vaccinated,7797,222316,16.71
2021-04-04,219,COVID-19,DosesAdministered,4148,295177,
2021-04-04,219,COVID-19,FullyVaccinated,197,72627,5.46
2021-04-04,219,COVID-19,Vaccinated,4009,226325,17.02
2021-04-05,219,COVID-19,DosesAdministered,3493,298670,
2021-04-05,219,COVID-19,FullyVaccinated,1114,73741,5.54
2021-04-05,219,COVID-19,Vaccinated,2506,228831,17.2
2021-04-06,219,COVID-19,DosesAdministered,3609,302279,
2021-04-06,219,COVID-19,FullyVaccinated,1220,74961,5.64
2021-04-06,219,COVID-19,Vaccinated,2476,231307,17.39
2021-04-07,219,COVID-19,DosesAdministered,6008,308287,
2021-04-07,219,COVID-19,FullyVaccinated,1227,76188,5.73
2021-04-07,219,COVID-19,Vaccinated,4895,236202,17.76
2021-04-08,219,COVID-19,DosesAdministered,12899,321186,
2021-04-08,219,COVID-19,FullyVaccinated,1536,77724,5.84
2021-04-08,219,COVID-19,Vaccinated,11630,247832,18.63
2021-04-09,219,COVID-19,DosesAdministered,10640,331826,
2021-04-09,219,COVID-19,FullyVaccinated,1259,78983,5.94
2021-04-09,219,COVID-19,Vaccinated,9570,257402,19.35
2021-04-10,219,COVID-19,DosesAdministered,1629,333455,
2021-04-10,219,COVID-19,FullyVaccinated,455,79438,5.97
2021-04-10,219,COVID-19,Vaccinated,1224,258626,19.44
2021-04-11,219,COVID-19,DosesAdministered,330,333785,
2021-04-11,219,COVID-19,FullyVaccinated,51,79489,5.98
2021-04-11,219,COVID-19,Vaccinated,285,258911,19.47
2021-04-12,219,COVID-19,DosesAdministered,1918,335703,
2021-04-12,219,COVID-19,FullyVaccinated,505,79994,6.01
2021-04-12,219,COVID-19,Vaccinated,1468,260379,19.57
2021-04-13,219,COVID-19,DosesAdministered,2858,338561,
2021-04-13,219,COVID-19,FullyVaccinated,634,80628,6.06
2021-04-13,219,COVID-19,Vaccinated,2280,262659,19.75
2021-04-14,219,COVID-19,DosesAdministered,7218,345779,
2021-04-14,219,COVID-19,FullyVaccinated,2040,82668,6.22
2021-04-14,219,COVID-19,Vaccinated,5345,268004,20.14
2021-04-15,219,COVID-19,DosesAdministered,12522,358301,
2021-04-15,219,COVID-19,FullyVaccinated,3456,86124,6.48
2021-04-15,219,COVID-19,Vaccinated,9312,277316,20.85
2021-04-16,219,COVID-19,DosesAdministered,11525,369826,
2021-04-16,219,COVID-19,FullyVaccinated,3584,89708,6.74
